,最新价,涨跌_今日,股票代码,公司名称,今日主力流入_元,所属模块,涨跌_5日,涨跌_10日,主力净占比_5日,主力净占比_10日,主力净占比_今日,排名_今日,排名_5日,排名_10日
209,6.83,1.04,002846,英联股份,2533017.0,包装材料,-1.73,-9.89,3.46,-1.04,9.47,443.0,414,1848
210,1.48,2.78,002131,利欧股份,8859142.0,互联网服务,2.07,-4.52,3.83,0.01,9.45,422.0,358,1220
211,18.57,0.22,300685,艾德生物,4110382.0,医疗器械,-1.95,-0.43,-1.44,-0.66,9.44,447.0,2094,1629
212,11.99,3.18,300989,蕾奥规划,5412468.0,工程咨询服务,-3.38,4.62,0.43,-0.14,9.43,448.0,1212,1351
213,8.9,1.95,002517,恺英网络,28928698.0,游戏,-0.67,-1.66,1.39,0.27,9.41,450.0,872,1106
214,4.87,2.74,300419,浩丰科技,9786523.0,互联网服务,12.21,5.64,0.58,-0.25,9.41,451.0,1194,1527
215,10.52,3.14,300845,捷安高科,5063229.0,软件开发,4.26,2.63,0.99,-0.64,9.41,452.0,1006,1616
216,2.96,1.37,002716,湖南白银,7136439.0,贵金属,-5.73,-10.84,-8.86,-6.74,9.4,454.0,4829,4762
217,29.57,2.42,301195,北路智控,5201297.0,软件开发,-2.57,1.13,-1.03,0.48,9.39,456.0,1890,1016
218,6.84,2.09,000002,万  科Ａ,59509167.0,房地产开发,-3.12,-1.58,-4.87,-1.17,9.37,458.0,4010,2087
219,8.34,-0.12,300636,同和药业,2496674.0,化学制药,-4.9,-11.18,6.07,3.15,9.36,460.0,179,348
220,2.69,1.89,002162,悦心健康,1189147.0,装修建材,-0.37,-2.89,-2.72,0.51,9.33,437.0,2753,1002
221,1.64,5.13,000889,ST中嘉,2337018.0,通信服务,0.0,1.23,-3.76,-3.43,9.3,438.0,3313,3422
222,14.37,0.98,300858,科拓生物,1251139.0,食品饮料,-0.48,-1.71,11.07,8.7,9.27,466.0,43,36
223,5.67,5.98,002448,中原内配,9413314.0,汽车零部件,2.53,-2.07,2.28,0.06,9.25,467.0,639,1207
224,9.6,4.23,002465,海格通信,40739543.0,通信设备,4.01,0.0,-3.47,-3.82,9.24,468.0,3332,3882
225,3.84,2.13,002337,赛象科技,6760117.0,专用设备,9.71,5.49,3.24,2.91,9.24,469.0,465,380
226,3.63,1.11,002206,海 利 得,2874390.0,化纤行业,-3.46,-6.68,-8.44,1.8,9.24,446.0,4771,581
227,3.76,5.62,002164,宁波东力,6441708.0,通用设备,5.32,-0.27,1.79,-0.52,9.23,472.0,766,1542
228,1.79,1.13,000609,*ST中迪,303596.0,房地产开发,-2.72,-3.76,0.9,0.84,9.22,449.0,1035,866
229,2.35,0.86,000785,居然之家,4447270.0,商业百货,0.86,-2.89,6.88,3.18,9.21,474.0,145,341
230,6.15,3.54,002198,嘉应制药,3376610.0,中药,-2.23,-7.24,-5.54,-8.8,9.21,476.0,4275,5265
231,4.09,0.25,002082,万邦德,1252882.0,化学制药,-1.92,-4.66,1.7,4.05,9.16,455.0,787,221
232,7.87,6.5,002890,弘宇股份,4203587.0,专用设备,5.21,1.03,4.24,2.88,9.15,481.0,337,387
233,18.02,4.16,300415,伊之密,9119916.0,专用设备,-2.86,-5.11,-0.69,-0.67,9.14,484.0,1713,1634
234,15.39,3.29,001201,东瑞股份,6983229.0,农牧饲渔,-9.42,-0.65,-3.22,0.56,9.12,485.0,3193,1074
235,10.14,2.32,300592,华凯易佰,3981320.0,互联网服务,0.4,-2.5,6.96,3.1,9.12,486.0,134,329
